Posicion_X_nm,Posicion_Y_nm,Posicion_Z_nm,Fuerza_X_N,Fuerza_Y_N,Fuerza_Z_N,Fuerza_Magnitud_N
-230,-220,0,2.29308090545094e-19,2.19338173564872e-19,1.48382385818247e-22,3.17319171796385e-19
-230,-210,0,5.41891310763439e-19,4.94770327218792e-19,3.50651421802576e-22,7.33787429936987e-19
-230,-200,0,1.23036284964201e-18,1.06988073881914e-18,7.96153996230496e-22,1.63047176330551e-18
-230,-190,0,2.68399959225549e-18,2.21721705447192e-18,1.73678786183713e-21,3.48136586619402e-18
-230,-180,0,5.62548404421652e-18,4.40255273025641e-18,3.64019536075761e-21,7.14342736544896e-18
-230,-170,0,1.13283215041465e-17,8.373107198717e-18,7.33045326343032e-21,1.40868678562007e-17
-230,-160,0,2.1917925881156e-17,1.52472527868911e-17,1.41829047817493e-20,2.66997077443555e-17
-230,-150,0,4.07438029957513e-17,2.65720454320117e-17,2.63649994135855e-20,4.86429005725469e-17
-230,-140,0,7.27699198543431e-17,4.42947338243828e-17,4.70889021792977e-20,8.51908850614028e-17
-230,-130,0,1.24873549599152e-16,7.05807019473468e-17,8.08048792723237e-20,1.43440041154137e-16
-230,-120,0,2.05881463918986e-16,1.07416415957732e-16,1.33224723232491e-19,2.32218606815768e-16
-230,-110,0,3.26131142835731e-16,1.55975763964915e-16,2.11037818230483e-19,3.6151072710051e-16
-230,-100,0,4.9635858175935e-16,2.15808079025805e-16,3.21191446128175e-19,5.41244003960235e-16
-230,-90,0,7.25816839284683e-16,2.84015284937485e-16,4.69673301931007e-19,7.79406817304249e-16
-230,-80,0,1.01973374495494e-15,3.54689998245197e-16,6.59866373899641e-19,1.07965843713585e-15
-230,-70,0,1.37649549236423e-15,4.18933410719549e-16,8.90726436631246e-19,1.43883488855037e-15
-230,-60,0,1.78521715401486e-15,4.65708822786485e-16,1.15520991465522e-18,1.84496241943299e-15
-230,-50,0,2.22451617865039e-15,4.8359047361965e-16,1.43948019359524e-18,2.2764740383664e-15
-230,-40,0,2.66322800882931e-15,4.63170088492053e-16,1.72337068164174e-18,2.70320419648482e-15
-230,-30,0,3.0634401324844e-15,3.99579147715357e-16,1.98234814081084e-18,3.08939037195191e-15
-230,-20,0,3.38562392710164e-15,2.94402080617534e-16,2.19083351472519e-18,3.39840061802409e-15
-230,-10,0,3.5949785636666e-15,1.56303415811591e-16,2.32630709333145e-18,3.59837561167833e-15
-230,0,0,3.66760172401794e-15,0,2.37330161393042e-18,3.66760249189848e-15
-230,10,0,3.5949785636666e-15,-1.56303415811591e-16,2.32630709333145e-18,3.59837561167833e-15
-230,20,0,3.38562392710164e-15,-2.94402080617534e-16,2.19083351472519e-18,3.39840061802409e-15
-230,30,0,3.0634401324844e-15,-3.99579147715357e-16,1.98234814081084e-18,3.08939037195191e-15
-230,40,0,2.66322800882931e-15,-4.63170088492053e-16,1.72337068164174e-18,2.70320419648482e-15
-230,50,0,2.22451617865039e-15,-4.8359047361965e-16,1.43948019359524e-18,2.2764740383664e-15
-230,60,0,1.78521715401486e-15,-4.65708822786485e-16,1.15520991465522e-18,1.84496241943299e-15
-230,70,0,1.37649549236423e-15,-4.18933410719549e-16,8.90726436631246e-19,1.43883488855037e-15
-230,80,0,1.01973374495494e-15,-3.54689998245197e-16,6.59866373899641e-19,1.07965843713585e-15
-230,90,0,7.25816839284683e-16,-2.84015284937485e-16,4.69673301931007e-19,7.79406817304249e-16
-230,100,0,4.9635858175935e-16,-2.15808079025805e-16,3.21191446128175e-19,5.41244003960235e-16
-230,110,0,3.26131142835731e-16,-1.55975763964915e-16,2.11037818230483e-19,3.6151072710051e-16
-230,120,0,2.05881463918986e-16,-1.07416415957732e-16,1.33224723232491e-19,2.32218606815768e-16
-230,130,0,1.24873549599152e-16,-7.05807019473468e-17,8.08048792723237e-20,1.43440041154137e-16
-230,140,0,7.27699198543431e-17,-4.42947338243828e-17,4.70889021792977e-20,8.51908850614028e-17
-230,150,0,4.07438029957513e-17,-2.65720454320117e-17,2.63649994135855e-20,4.86429005725469e-17
-230,160,0,2.1917925881156e-17,-1.52472527868911e-17,1.41829047817493e-20,2.66997077443555e-17
-230,170,0,1.13283215041465e-17,-8.373107198717e-18,7.33045326343032e-21,1.40868678562007e-17
-230,180,0,5.62548404421652e-18,-4.40255273025641e-18,3.64019536075761e-21,7.14342736544896e-18
-230,190,0,2.68399959225549e-18,-2.21721705447192e-18,1.73678786183713e-21,3.48136586619402e-18
-230,200,0,1.23036284964201e-18,-1.06988073881914e-18,7.96153996230496e-22,1.63047176330551e-18
-230,210,0,5.41891310763439e-19,-4.94770327218792e-19,3.50651421802576e-22,7.33787429936987e-19
-230,220,0,2.29308090545094e-19,-2.19338173564872e-19,1.48382385818247e-22,3.17319171796385e-19
-230,230,0,9.32298060687529e-20,-9.32298060687529e-20,6.03277761138969e-23,1.31846869961615e-19
-230,240,0,3.6418193158933e-20,-3.80015928614954e-20,2.35657085954872e-23,5.26346502630618e-20
-230,250,0,1.36681652257481e-20,-1.48567013323349e-20,8.84447198823636e-24,2.01876297108213e-20
-220,-250,0,3.21565698613696e-20,3.65415566606473e-20,2.17538908186883e-23,4.86757724300726e-20
-220,-240,0,8.56796857815888e-20,9.34687481253696e-20,5.79622901777896e-23,1.26796761754323e-19
-220,-230,0,2.19338173564872e-19,2.29308090545094e-19,1.48382385818247e-22,3.17319171796385e-19
-220,-220,0,5.39484274383255e-19,5.39484274383255e-19,3.64961777797934e-22,7.62946064811106e-19
-220,-210,0,1.27488663069425e-18,1.21693723838996e-18,8.62463327993952e-22,1.76246217183408e-18
-220,-200,0,2.89462664023436e-18,2.63147876384941e-18,1.95822284608176e-21,3.91197491116464e-18
-220,-190,0,6.31454052256018e-18,5.45346681493834e-18,4.27180882838069e-21,8.34348491704989e-18
-220,-180,0,1.323485439784e-17,1.08285172345963e-17,8.95343583451258e-21,1.7100240834444e-17
-220,-170,0,2.66516926347189e-17,2.05944897631919e-17,1.80300056528761e-20,3.3681538771007e-17
-220,-160,0,5.15654297314967e-17,3.75021307138158e-17,3.48843167263488e-20,6.37605251576993e-17
-220,-150,0,9.58563098912739e-17,6.53565749258686e-17,6.48474345831611e-20,1.16016887724169e-16
-220,-140,0,1.71202851373208e-16,1.08947269055678e-16,1.15820010300927e-19,2.02928404042613e-16
-220,-130,0,2.93784924642622e-16,1.73600182743367e-16,1.98747932454491e-19,3.41242794644139e-16
-220,-120,0,4.84368898227329e-16,2.64201217214907e-16,3.27679943745081e-19,5.51738724508204e-16
-220,-110,0,7.67275312716273e-16,3.83637656358136e-16,5.19069274290623e-19,8.57840035386977e-16
-220,-100,0,1.1677622693195e-15,5.30801031508865e-16,7.90003480172651e-19,1.2827388965813e-15
-220,-90,0,1.70759901688378e-15,6.98563234179727e-16,1.15520991465521e-18,1.84496241943299e-15
-220,-80,0,2.39908481220353e-15,8.72394477164919e-16,1.62300938618923e-18,2.55277940568568e-15
-220,-70,0,3.23842288679286e-15,1.03040728216137e-15,2.19083351472518e-18,3.39840061802408e-15
-220,-60,0,4.20000471161621e-15,1.14545583044078e-15,2.84135790012188e-18,4.35340288859231e-15
-220,-50,0,5.23352446829255e-15,1.1894373791574e-15,3.54054996261157e-18,5.36698725307296e-15
-220,-40,0,6.26566266029196e-15,1.13921139278036e-15,4.23880789023794e-18,6.36838669817638e-15
-220,-30,0,7.20722419693552e-15,9.82803299582117e-16,4.87578965452924e-18,7.27392649975838e-15
-220,-20,0,7.96521185424423e-15,7.24110168567657e-16,5.38858092883924e-18,7.99806004328676e-15
-220,-10,0,8.45775128817026e-15,3.84443240371375e-16,5.72179216425845e-18,8.46648605954787e-15
-220,0,0,8.62860859570189e-15,0,5.83738003333095e-18,8.62861057023819e-15
-220,10,0,8.45775128817026e-15,-3.84443240371375e-16,5.72179216425845e-18,8.46648605954787e-15
-220,20,0,7.96521185424423e-15,-7.24110168567657e-16,5.38858092883924e-18,7.99806004328676e-15
-220,30,0,7.20722419693552e-15,-9.82803299582117e-16,4.87578965452924e-18,7.27392649975838e-15
-220,40,0,6.26566266029196e-15,-1.13921139278036e-15,4.23880789023794e-18,6.36838669817638e-15
-220,50,0,5.23352446829255e-15,-1.1894373791574e-15,3.54054996261157e-18,5.36698725307296e-15
-220,60,0,4.20000471161621e-15,-1.14545583044078e-15,2.84135790012188e-18,4.35340288859231e-15
-220,70,0,3.23842288679286e-15,-1.03040728216137e-15,2.19083351472518e-18,3.39840061802408e-15
-220,80,0,2.39908481220353e-15,-8.72394477164919e-16,1.62300938618923e-18,2.55277940568568e-15
-220,90,0,1.70759901688378e-15,-6.98563234179727e-16,1.15520991465521e-18,1.84496241943299e-15
-220,100,0,1.1677622693195e-15,-5.30801031508865e-16,7.90003480172651e-19,1.2827388965813e-15
-220,110,0,7.67275312716273e-16,-3.83637656358136e-16,5.19069274290623e-19,8.57840035386977e-16
-220,120,0,4.84368898227329e-16,-2.64201217214907e-16,3.27679943745081e-19,5.51738724508204e-16
