Posicion_X_nm,Posicion_Y_nm,Fuerza_X_N,Fuerza_Y_N
-250,-250,2.178191274956E-21,2.178191274956E-21
-250,-239.795918367347,5.91847224516289E-21,5.67690194944195E-21
-250,-229.591836734694,1.54253543654301E-20,1.41661417641705E-20
-250,-219.387755102041,3.85631602960595E-20,3.38411406679705E-20
-250,-209.183673469388,9.24745057279241E-20,7.73766272417324E-20
-250,-198.979591836735,2.12707769284675E-19,1.69298020451068E-19
-250,-188.775510204082,4.69306555527077E-19,3.54374337846976E-19
-250,-178.571428571429,9.93211688000895E-19,7.09436920000639E-19
-250,-168.367346938775,2.01622481621453E-18,1.35786569255264E-18
-250,-158.163265306122,3.92597946195374E-18,2.48378292490951E-18
-250,-147.959183673469,7.33278622586468E-18,4.33981225612399E-18
-250,-137.755102040816,1.31371741828346E-17,7.23885108033742E-18
-250,-127.551020408163,2.25759911154543E-17,1.15183628140073E-17
-250,-117.34693877551,3.72137663131972E-17,1.74676862286436E-17
-250,-107.142857142857,5.8839958807369E-17,2.52171252031582E-17
-250,-96.9387755102041,8.92386573008103E-17,3.46027446676611E-17
-250,-86.734693877551,1.29821202526619E-16,4.50400090398475E-17
-250,-76.530612244898,1.81154931611732E-16,5.54555913097139E-17
-250,-66.3265306122449,2.42474810410596E-16,6.43300517415867E-17
-250,-56.1224489795918,3.11311403020976E-16,6.98862333312396E-17
-250,-45.9183673469388,3.833852165436E-16,7.04176928345387E-17
-250,-35.7142857142857,4.52884679385143E-16,6.46978113407346E-17
-250,-25.5102040816326,5.13158857275184E-16,5.23631487015494E-17
-250,-15.3061224489796,5.57735081948332E-16,3.41470458335713E-17
-250,-5.10204081632653,5.81454893014897E-16,1.18664263880591E-17
-250,5.10204081632653,5.81454893014897E-16,-1.18664263880591E-17
-250,15.3061224489796,5.57735081948332E-16,-3.41470458335713E-17
-250,25.5102040816326,5.13158857275184E-16,-5.23631487015494E-17
-250,35.7142857142857,4.52884679385143E-16,-6.46978113407346E-17
-250,45.9183673469388,3.833852165436E-16,-7.04176928345387E-17
-250,56.1224489795918,3.11311403020976E-16,-6.98862333312396E-17
-250,66.3265306122449,2.42474810410596E-16,-6.43300517415867E-17
-250,76.530612244898,1.81154931611732E-16,-5.54555913097139E-17
-250,86.734693877551,1.29821202526619E-16,-4.50400090398475E-17
