Posicion_X_nm,Posicion_Y_nm,Intensidad_Arb
-300,-300,0.0101342273814857
-300,-294,0.0110987990817866
-300,-288,0.0121328729829392
-300,-282,0.0132389526480465
-300,-276,0.014419357944413
-300,-270,0.0156761905232925
-300,-264,0.0170112982791755
-300,-258,0.0184262391057787
-300,-252,0.0199222443032353
-300,-246,0.0215001820261668
-300,-240,0.0231605211945293
-300,-234,0.0249032963175871
-300,-228,0.0267280737052652
-300,-222,0.0286339195597014
-300,-216,0.0306193704523213
-300,-210,0.0326824066975217
-300,-204,0.0348204291324698
-300,-198,0.0370302398031072
-300,-192,0.0393080270387919
-300,-186,0.0416493553718693
-300,-180,0.0440491607237027
-300,-174,0.0465017512353623
-300,-168,0.0490008140694663
-300,-162,0.0515394284499583
-300,-156,0.0541100851394434
-300,-150,0.0567047124797939
-300,-144,0.0593147090419779
-300,-138,0.0619309828464743
-300,-132,0.0645439970274281
-300,-126,0.0671438217231588
-300,-120,0.0697201918841966
-300,-114,0.072262570599175
-300,-108,0.0747602174502182
-300,-102,0.0772022613245017
-300,-96,0.0795777770290113
-300,-90,0.0818758649827135
-300,-84,0.0840857331958485
-300,-78,0.086196780691213
-300,-72,0.0881986814783559
-300,-66,0.0900814681596057
-300,-60,0.0918356142276702
-300,-54,0.0934521141088349
-300,-48,0.09492256001397
-300,-42,0.096239214681799
-300,-36,0.09739507913511
-300,-30,0.098383954620451
-300,-24,0.0992004979647502
-300,-18,0.0998402696573847
-300,-12,0.100299774052394
-300,-6,0.100576491181505
-300,0,0.100668899772898
-300,6,0.100576491181505
-300,12,0.100299774052394
-300,18,0.0998402696573847
-300,24,0.0992004979647502
-300,30,0.098383954620451
-300,36,0.09739507913511
-300,42,0.096239214681799
-300,48,0.09492256001397
-300,54,0.0934521141088349
-300,60,0.0918356142276702
-300,66,0.0900814681596057
-300,72,0.0881986814783559
-300,78,0.086196780691213
-300,84,0.0840857331958485
-300,90,0.0818758649827135
-300,96,0.0795777770290113
-300,102,0.0772022613245017
-300,108,0.0747602174502182
-300,114,0.072262570599175
-300,120,0.0697201918841966
-300,126,0.0671438217231588
-300,132,0.0645439970274281
-300,138,0.0619309828464743
-300,144,0.0593147090419779
-300,150,0.0567047124797939
-300,156,0.0541100851394434
-300,162,0.0515394284499583
-300,168,0.0490008140694663
-300,174,0.0465017512353623
-300,180,0.0440491607237027
-300,186,0.0416493553718693
-300,192,0.0393080270387919
-300,198,0.0370302398031072
-300,204,0.0348204291324698
-300,210,0.0326824066975217
-300,216,0.0306193704523213
-300,222,0.0286339195597014
-300,228,0.0267280737052652
-300,234,0.0249032963175871
-300,240,0.0231605211945293
-300,246,0.0215001820261668
-300,252,0.0199222443032353
-300,258,0.0184262391057787
-300,264,0.0170112982791755
-300,270,0.0156761905232925
-300,276,0.014419357944413
-300,282,0.0132389526480465
-300,288,0.0121328729829392
-300,294,0.0110987990817866
-300,300,0.0101342273814857
-294,-300,0.0110987990817866
-294,-294,0.0121551783299149
-294,-288,0.0132876749705153
-294,-282,0.014499030854823
-294,-276,0.0157917866541831
-294,-270,0.017168244054173
-294,-264,0.0186304268311405
-294,-258,0.0201800411585016
-294,-252,0.0218184355310428
-294,-246,0.0235465607339945
-294,-240,0.0253649303189262
-294,-234,0.0272735820796802
-294,-228,0.029272041047734
-294,-222,0.0313592845467192
-294,-216,0.0335337098595161
-294,-210,0.0357931050676553
-294,-204,0.0381346236210275
-294,-198,0.0405547631855887
-294,-192,0.0430493492974128
-294,-186,0.0456135243228118
-294,-180,0.048241742186174
-294,-174,0.050927769279718
-294,-168,0.0536646919127301
-294,-162,0.0564449305924631
-294,-156,0.0592602613553161
-294,-150,0.0621018442859765
-294,-144,0.0649602592748444
-294,-138,0.067825548971432
-294,-132,0.0706872687948146
