Posicion_X_nm,Posicion_Y_nm,Posicion_Z_nm,Fuerza_X_N,Fuerza_Y_N,Fuerza_Z_N,Fuerza_Magnitud_N,Intensidad_W_m2
-240,-30,0,1.24869718625754e-15,1.56087148282193e-16,7.74360363172974e-19,1.25841505889764e-15,52800092.6621053
-240,-20,0,1.380023450489e-15,1.15001954207416e-16,8.55800553489141e-19,1.38480717277376e-15,58353126.8818496
-240,-10,0,1.46535909970416e-15,6.10566291543401e-17,9.0872030424843e-19,1.46663084272153e-15,61961482.7283405
-240,0,0,1.49496123676769e-15,0,9.27077672103743e-19,1.49496152422428e-15,63213187.7094958
-240,10,0,1.46535909970416e-15,-6.10566291543401e-17,9.0872030424843e-19,1.46663084272153e-15,61961482.7283405
-240,20,0,1.380023450489e-15,-1.15001954207416e-16,8.55800553489141e-19,1.38480717277376e-15,58353126.8818496
-240,30,0,1.24869718625754e-15,-1.56087148282193e-16,7.74360363172974e-19,1.25841505889764e-15,52800092.6621053
-240,40,0,1.08556557849823e-15,-1.80927596416371e-16,6.73196558890989e-19,1.10053981007449e-15,45902195.3856318
-240,50,0,9.06741007115362e-16,-1.88904376482367e-16,5.6230103206638e-19,9.26209713629275e-16,38340736.4440093
-240,60,0,7.27677101911202e-16,-1.819192754778e-16,4.51257148347141e-19,7.50072523873037e-16,30769161.724054
-240,70,0,5.61076936282544e-16,-1.63647439749075e-16,3.47942539838418e-19,5.84455245530951e-16,23724610.9411891
-240,80,0,4.15656309304369e-16,-1.38552103101456e-16,2.57762173262716e-19,4.38140296229078e-16,17575624.0638274
-240,90,0,2.95852052089987e-16,-1.10944519533745e-16,1.83467465259316e-19,3.15970183404606e-16,12509807.6126729
-240,100,0,2.02321967531936e-16,-8.43008198049734e-17,1.25466319336954e-19,2.1918216740324e-16,8554974.66298473
-240,110,0,1.32935120857594e-16,-6.09285970597306e-17,8.24372461143209e-20,1.4623285230409e-16,5621018.89591763
-240,120,0,8.39198438870885e-17,-4.19599219435442e-17,5.20412852526556e-20,9.38252522290081e-17,3548457.30008198
-240,130,0,5.09000060496613e-17,-2.75708366102332e-17,3.1564635076626e-20,5.78874998904765e-17,2152248.14718352
-240,140,0,2.96619181064053e-17,-1.73027855620697e-17,1.8394235927753e-20,3.43397162525548e-17,1254218.84644816
-240,150,0,1.66076757492828e-17,-1.03797973433017e-17,1.02989026501848e-20,1.95845651661896e-17,702235.083443047
-240,160,0,8.93401562629512e-18,-5.95601041753008e-18,5.54023739400668e-21,1.07373519081216e-17,377763.457022749
-240,170,0,4.61756248778825e-18,-3.27077342885001e-18,2.86347909049951e-21,5.65860851720747e-18,195247.546884838
-240,180,0,2.2930159493995e-18,-1.71976196204963e-18,1.42196163405968e-21,2.86627028946821e-18,96957.0623845823
-240,190,0,1.09403090036465e-18,-8.66107796122016e-19,6.7843768294889e-22,1.39536618338475e-18,46259.5636718608
-240,200,0,5.01510833425646e-19,-4.17925694521372e-19,3.10999912160799e-22,6.52820878116963e-19,21205.6620676085
-240,210,0,2.20881460409614e-19,-1.93271277858412e-19,1.36974205864725e-22,2.93500298397873e-19,9339.64482936768
-240,220,0,9.34687481253696e-20,-8.56796857815888e-20,5.79622901777896e-23,1.26796761754323e-19,3952.18355412066
-240,230,0,3.80015928614954e-20,-3.6418193158933e-20,2.35657085954872e-23,5.26346502630618e-20,1606.83792283924
-240,240,0,1.48444936587213e-20,-1.48444936587213e-20,9.20542173739682e-24,2.09932862769844e-20,627.675619574215
-240,250,0,5.5713082624781e-21,-5.80344610674802e-21,3.45489694767513e-24,8.04484147797819e-21,235.573626506143
-230,-250,0,1.36681652257481e-20,1.48567013323349e-20,8.84447198823636e-24,2.01876297108213e-20,603.064106500443
-230,-240,0,3.6418193158933e-20,3.80015928614954e-20,2.35657085954872e-23,5.26346502630618e-20,1606.83792283924
-230,-230,0,9.32298060687529e-20,9.32298060687529e-20,6.03277761138969e-23,1.31846869961615e-19,4113.47522471392
-230,-220,0,2.29308090545094e-19,2.19338173564872e-19,1.48382385818247e-22,3.17319171796385e-19,10117.5164603275
-230,-210,0,5.41891310763439e-19,4.94770327218792e-19,3.50651421802576e-22,7.33787429936987e-19,23909.317216872
-230,-200,0,1.23036284964201e-18,1.06988073881914e-18,7.96153996230496e-22,1.63047176330551e-18,54286.1008562307
-230,-190,0,2.68399959225549e-18,2.21721705447192e-18,1.73678786183713e-21,3.48136586619402e-18,118423.623419547
-230,-180,0,5.62548404421652e-18,4.40255273025641e-18,3.64019536075761e-21,7.14342736544896e-18,248208.278079484
-230,-170,0,1.13283215041465e-17,8.373107198717e-18,7.33045326343032e-21,1.40868678562007e-17,499830.091998002
-230,-160,0,2.1917925881156e-17,1.52472527868911e-17,1.41829047817493e-20,2.66997077443555e-17,967067.430499285
-230,-150,0,4.07438029957513e-17,2.65720454320117e-17,2.63649994135855e-20,4.86429005725469e-17,1797708.76490834
-230,-140,0,7.27699198543431e-17,4.42947338243828e-17,4.70889021792977e-20,8.51908850614028e-17,3210776.94141784
-230,-130,0,1.24873549599152e-16,7.05807019473468e-17,8.08048792723237e-20,1.43440041154137e-16,5509715.26441093
-230,-120,0,2.05881463918986e-16,1.07416415957732e-16,1.33224723232491e-19,2.32218606815768e-16,9083984.75192555
-230,-110,0,3.26131142835731e-16,1.55975763964915e-16,2.11037818230483e-19,3.6151072710051e-16,14389703.9255985
-230,-100,0,4.9635858175935e-16,2.15808079025805e-16,3.21191446128175e-19,5.41244003960235e-16,21900576.1714781
-230,-90,0,7.25816839284683e-16,2.84015284937485e-16,4.69673301931007e-19,7.79406817304249e-16,32024875.0352614
-230,-80,0,1.01973374495494e-15,3.54689998245197e-16,6.59866373899641e-19,1.07965843713585e-15,44993271.0188652
-230,-70,0,1.37649549236423e-15,4.18933410719549e-16,8.90726436631246e-19,1.43883488855037e-15,60734563.1664404
-230,-60,0,1.78521715401486e-15,4.65708822786485e-16,1.15520991465522e-18,1.84496241943299e-15,78768482.2710292
-230,-50,0,2.22451617865039e-15,4.8359047361965e-16,1.43948019359524e-18,2.2764740383664e-15,98151572.861583
-230,-40,0,2.66322800882931e-15,4.63170088492053e-16,1.72337068164174e-18,2.70320419648482e-15,117508767.247573
-230,-30,0,3.0634401324844e-15,3.99579147715357e-16,1.98234814081084e-18,3.08939037195191e-15,135167256.100871
-230,-20,0,3.38562392710164e-15,2.94402080617534e-16,2.19083351472519e-18,3.39840061802409e-15,149382920.518746
-230,-10,0,3.5949785636666e-15,1.56303415811591e-16,2.32630709333145e-18,3.59837561167833e-15,158620244.436473
-230,0,0,3.66760172401794e-15,0,2.37330161393042e-18,3.66760249189848e-15,161824585.929457
-230,10,0,3.5949785636666e-15,-1.56303415811591e-16,2.32630709333145e-18,3.59837561167833e-15,158620244.436473
-230,20,0,3.38562392710164e-15,-2.94402080617534e-16,2.19083351472519e-18,3.39840061802409e-15,149382920.518746
-230,30,0,3.0634401324844e-15,-3.99579147715357e-16,1.98234814081084e-18,3.08939037195191e-15,135167256.100871
-230,40,0,2.66322800882931e-15,-4.63170088492053e-16,1.72337068164174e-18,2.70320419648482e-15,117508767.247573
-230,50,0,2.22451617865039e-15,-4.8359047361965e-16,1.43948019359524e-18,2.2764740383664e-15,98151572.861583
-230,60,0,1.78521715401486e-15,-4.65708822786485e-16,1.15520991465522e-18,1.84496241943299e-15,78768482.2710292
-230,70,0,1.37649549236423e-15,-4.18933410719549e-16,8.90726436631246e-19,1.43883488855037e-15,60734563.1664404
-230,80,0,1.01973374495494e-15,-3.54689998245197e-16,6.59866373899641e-19,1.07965843713585e-15,44993271.0188652
-230,90,0,7.25816839284683e-16,-2.84015284937485e-16,4.69673301931007e-19,7.79406817304249e-16,32024875.0352614
-230,100,0,4.9635858175935e-16,-2.15808079025805e-16,3.21191446128175e-19,5.41244003960235e-16,21900576.1714781
-230,110,0,3.26131142835731e-16,-1.55975763964915e-16,2.11037818230483e-19,3.6151072710051e-16,14389703.9255985
-230,120,0,2.05881463918986e-16,-1.07416415957732e-16,1.33224723232491e-19,2.32218606815768e-16,9083984.75192555
-230,130,0,1.24873549599152e-16,-7.05807019473468e-17,8.08048792723237e-20,1.43440041154137e-16,5509715.26441093
-230,140,0,7.27699198543431e-17,-4.42947338243828e-17,4.70889021792977e-20,8.51908850614028e-17,3210776.94141784
-230,150,0,4.07438029957513e-17,-2.65720454320117e-17,2.63649994135855e-20,4.86429005725469e-17,1797708.76490834
-230,160,0,2.1917925881156e-17,-1.52472527868911e-17,1.41829047817493e-20,2.66997077443555e-17,967067.430499285
-230,170,0,1.13283215041465e-17,-8.373107198717e-18,7.33045326343032e-21,1.40868678562007e-17,499830.091998002
-230,180,0,5.62548404421652e-18,-4.40255273025641e-18,3.64019536075761e-21,7.14342736544896e-18,248208.278079484
-230,190,0,2.68399959225549e-18,-2.21721705447192e-18,1.73678786183713e-21,3.48136586619402e-18,118423.623419547
-230,200,0,1.23036284964201e-18,-1.06988073881914e-18,7.96153996230496e-22,1.63047176330551e-18,54286.1008562307
-230,210,0,5.41891310763439e-19,-4.94770327218792e-19,3.50651421802576e-22,7.33787429936987e-19,23909.317216872
-230,220,0,2.29308090545094e-19,-2.19338173564872e-19,1.48382385818247e-22,3.17319171796385e-19,10117.5164603275
-230,230,0,9.32298060687529e-20,-9.32298060687529e-20,6.03277761138969e-23,1.31846869961615e-19,4113.47522471392
-230,240,0,3.6418193158933e-20,-3.80015928614954e-20,2.35657085954872e-23,5.26346502630618e-20,1606.83792283924
-230,250,0,1.36681652257481e-20,-1.48567013323349e-20,8.84447198823636e-24,2.01876297108213e-20,603.064106500443
-220,-250,0,3.21565698613696e-20,3.65415566606473e-20,2.17538908186883e-23,4.86757724300726e-20,1483.29835256751
-220,-240,0,8.56796857815888e-20,9.34687481253696e-20,5.79622901777896e-23,1.26796761754323e-19,3952.18355412066
-220,-230,0,2.19338173564872e-19,2.29308090545094e-19,1.48382385818247e-22,3.17319171796385e-19,10117.5164603275
-220,-220,0,5.39484274383255e-19,5.39484274383255e-19,3.64961777797934e-22,7.62946064811106e-19,24885.0749628996
-220,-210,0,1.27488663069425e-18,1.21693723838996e-18,8.62463327993952e-22,1.76246217183408e-18,58807.4310120342
-220,-200,0,2.89462664023436e-18,2.63147876384941e-18,1.95822284608176e-21,3.91197491116464e-18,133522.262558102
-220,-190,0,6.31454052256018e-18,5.45346681493834e-18,4.27180882838069e-21,8.34348491704989e-18,291275.112596275
-220,-180,0,1.323485439784e-17,1.08285172345963e-17,8.95343583451258e-21,1.7100240834444e-17,610493.852977436
-220,-170,0,2.66516926347189e-17,2.05944897631919e-17,1.80300056528761e-20,3.3681538771007e-17,1229383.64932489
-220,-160,0,5.15654297314967e-17,3.75021307138158e-17,3.48843167263488e-20,6.37605251576993e-17,2378602.06074883
-220,-150,0,9.58563098912739e-17,6.53565749258686e-17,6.48474345831611e-20,1.16016887724169e-16,4421650.07111281
-220,-140,0,1.71202851373208e-16,1.08947269055678e-16,1.15820010300927e-19,2.02928404042613e-16,7897236.95432602
-220,-130,0,2.93784924642622e-16,1.73600182743367e-16,1.98747932454491e-19,3.41242794644139e-16,13551712.8059083
-220,-120,0,4.84368898227329e-16,2.64201217214907e-16,3.27679943745081e-19,5.51738724508204e-16,22342997.1574991
-220,-110,0,7.67275312716273e-16,3.83637656358136e-16,5.19069274290623e-19,8.57840035386977e-16,35392960.5439717
-220,-100,0,1.1677622693195e-15,5.30801031508865e-16,7.90003480172651e-19,1.2827388965813e-15,53866725.2874152
-220,-90,0,1.70759901688378e-15,6.98563234179727e-16,1.15520991465521e-18,1.84496241943299e-15,78768482.2710292
-220,-80,0,2.39908481220353e-15,8.72394477164919e-16,1.62300938618923e-18,2.55277940568568e-15,110665589.37898
-220,-70,0,3.23842288679286e-15,1.03040728216137e-15,2.19083351472518e-18,3.39840061802408e-15,149382920.518746
-220,-60,0,4.20000471161621e-15,1.14545583044078e-15,2.84135790012188e-18,4.35340288859231e-15,193739204.0547
-220,-50,0,5.23352446829255e-15,1.1894373791574e-15,3.54054996261157e-18,5.36698725307296e-15,241413913.975018
-220,-40,0,6.26566266029196e-15,1.13921139278036e-15,4.23880789023794e-18,6.36838669817638e-15,289024929.510025
-220,-30,0,7.20722419693552e-15,9.82803299582117e-16,4.87578965452924e-18,7.27392649975838e-15,332457803.631888
-220,-20,0,7.96521185424423e-15,7.24110168567657e-16,5.38858092883924e-18,7.99806004328676e-15,367422696.061228
-220,-10,0,8.45775128817026e-15,3.84443240371375e-16,5.72179216425845e-18,8.46648605954787e-15,390142846.708012
-220,0,0,8.62860859570189e-15,0,5.83738003333095e-18,8.62861057023819e-15,398024255.01336
-220,10,0,8.45775128817026e-15,-3.84443240371375e-16,5.72179216425845e-18,8.46648605954787e-15,390142846.708012
-220,20,0,7.96521185424423e-15,-7.24110168567657e-16,5.38858092883924e-18,7.99806004328676e-15,367422696.061228
-220,30,0,7.20722419693552e-15,-9.82803299582117e-16,4.87578965452924e-18,7.27392649975838e-15,332457803.631888
-220,40,0,6.26566266029196e-15,-1.13921139278036e-15,4.23880789023794e-18,6.36838669817638e-15,289024929.510025
-220,50,0,5.23352446829255e-15,-1.1894373791574e-15,3.54054996261157e-18,5.36698725307296e-15,241413913.975018
-220,60,0,4.20000471161621e-15,-1.14545583044078e-15,2.84135790012188e-18,4.35340288859231e-15,193739204.0547
-220,70,0,3.23842288679286e-15,-1.03040728216137e-15,2.19083351472518e-18,3.39840061802408e-15,149382920.518746
-220,80,0,2.39908481220353e-15,-8.72394477164919e-16,1.62300938618923e-18,2.55277940568568e-15,110665589.37898
-220,90,0,1.70759901688378e-15,-6.98563234179727e-16,1.15520991465521e-18,1.84496241943299e-15,78768482.2710292
-220,100,0,1.1677622693195e-15,-5.30801031508865e-16,7.90003480172651e-19,1.2827388965813e-15,53866725.2874152
-220,110,0,7.67275312716273e-16,-3.83637656358136e-16,5.19069274290623e-19,8.57840035386977e-16,35392960.5439717
-220,120,0,4.84368898227329e-16,-2.64201217214907e-16,3.27679943745081e-19,5.51738724508204e-16,22342997.1574991
-220,130,0,2.93784924642622e-16,-1.73600182743367e-16,1.98747932454491e-19,3.41242794644139e-16,13551712.8059083
-220,140,0,1.71202851373208e-16,-1.08947269055678e-16,1.15820010300927e-19,2.02928404042613e-16,7897236.95432602
-220,150,0,9.58563098912739e-17,-6.53565749258686e-17,6.48474345831611e-20,1.16016887724169e-16,4421650.07111281
-220,160,0,5.15654297314967e-17,-3.75021307138158e-17,3.48843167263488e-20,6.37605251576993e-17,2378602.06074883
-220,170,0,2.66516926347189e-17,-2.05944897631919e-17,1.80300056528761e-20,3.3681538771007e-17,1229383.64932489
-220,180,0,1.323485439784e-17,-1.08285172345963e-17,8.95343583451258e-21,1.7100240834444e-17,610493.852977436
-220,190,0,6.31454052256018e-18,-5.45346681493834e-18,4.27180882838069e-21,8.34348491704989e-18,291275.112596275
-220,200,0,2.89462664023436e-18,-2.63147876384941e-18,1.95822284608176e-21,3.91197491116464e-18,133522.262558102
-220,210,0,1.27488663069425e-18,-1.21693723838996e-18,8.62463327993952e-22,1.76246217183408e-18,58807.4310120342
-220,220,0,5.39484274383255e-19,-5.39484274383255e-19,3.64961777797934e-22,7.62946064811106e-19,24885.0749628996
-220,230,0,2.19338173564872e-19,-2.29308090545094e-19,1.48382385818247e-22,3.17319171796385e-19,10117.5164603275
-220,240,0,8.56796857815888e-20,-9.34687481253696e-20,5.79622901777896e-23,1.26796761754323e-19,3952.18355412066
-220,250,0,3.21565698613696e-20,-3.65415566606473e-20,2.17538908186883e-23,4.86757724300726e-20,1483.29835256751
-210,-250,0,7.25369343883244e-20,8.63534933194338e-20,5.14079397176453e-23,1.12776483815119e-19,3505.27236380935
-210,-240,0,1.93271277858412e-19,2.20881460409614e-19,1.36974205864725e-22,2.93500298397873e-19,9339.64482936768
-210,-230,0,4.94770327218792e-19,5.41891310763439e-19,3.50651421802576e-22,7.33787429936987e-19,23909.317216872
-210,-220,0,1.21693723838996e-18,1.27488663069425e-18,8.62463327993952e-22,1.76246217183408e-18,58807.4310120342
-210,-210,0,2.87581485882424e-18,2.87581485882424e-18,2.03813943647131e-21,4.06701688691858e-18,138971.409464998
-210,-200,0,6.52952928838905e-18,6.21859932227529e-18,4.62759525936333e-21,9.01697020476229e-18,315534.562611028
-210,-190,0,1.42439694862687e-17,1.28874009637669e-17,1.00949707142272e-20,1.92087446813967e-17,688329.897140376
-210,-180,0,2.9854404019144e-17,2.55894891592663e-17,2.11584076376846e-20,3.93205778498829e-17,1442695.07710171
-210,-170,0,6.01193102793092e-17,4.86680130832503e-17,4.26078006660739e-20,7.73492649050782e-17,2905231.11756262
-210,-160,0,1.16318230750395e-16,8.86234139050627e-17,8.24372461143209e-20,1.4623285230409e-16,5621018.89591763
-210,-150,0,2.16226940454571e-16,1.54447814610408e-16,1.53244908494295e-19,2.65722111801554e-16,10449069.6493555
-210,-140,0,3.86189124081135e-16,2.5745941605409e-16,2.7370129588728e-19,4.64141643666959e-16,18662439.959312
-210,-130,0,6.62702331520798e-16,4.10244300465256e-16,4.69673301931007e-19,7.79406817304249e-16,32024875.0352614
-210,-120,0,1.09261003797535e-15,6.24348593128774e-16,7.74360363172978e-19,1.25841505889764e-15,52800092.6621056
-210,-110,0,1.73077297942959e-15,9.06595370177405e-16,1.22664410631235e-18,1.95384026373868e-15,83639253.1912818
-210,-100,0,2.63416675704417e-15,1.25436512240198e-15,1.86690517223247e-18,2.91757945042634e-15,127295727.897709
-210,-90,0,3.85189700923916e-15,1.65081300395964e-15,2.72994666328926e-18,4.19073998196459e-15,186142581.205541
-210,-80,0,5.41170753763751e-15,2.06160287148095e-15,3.83543198695381e-18,5.79109657864205e-15,261520570.965908
-210,-70,0,7.30503373424609e-15,2.4350112447487e-15,5.17729164844658e-18,7.70018340202847e-15,353015846.080516
-210,-60,0,9.47410941208607e-15,2.70688840345316e-15,6.71458530631196e-18,9.85322480544227e-15,457836871.85147
-210,-50,0,1.18054578416899e-14,2.81082329564044e-15,8.3668885057374e-18,1.21354700138089e-14,570499872.418905
-210,-40,0,1.41336895591297e-14,2.69213134459613e-15,1.00169841943714e-17,1.43878021973608e-14,683012352.918573
-210,-30,0,1.62576040115277e-14,2.32251485878967e-15,1.15222744623509e-17,1.64226641026281e-14,785651213.857959
-210,-20,0,1.79674240888335e-14,1.71118324655557e-15,1.27340826458748e-17,1.8048729557732e-14,868278873.306572
-210,-10,0,1.90784629844479e-14,9.08498237354663e-16,1.35215143401182e-17,1.91000864324635e-14,921970240.270095
-210,0,0,1.9463871941018e-14,0,1.37946670489793e-17,1.94638768293777e-14,940595274.588325
-210,10,0,1.90784629844479e-14,-9.08498237354663e-16,1.35215143401182e-17,1.91000864324635e-14,921970240.270095
-210,20,0,1.79674240888335e-14,-1.71118324655557e-15,1.27340826458748e-17,1.8048729557732e-14,868278873.306572
